killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Bluezone,PAPcannon,2,369430.2,491525.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,967,dvoramelculo,10,370356.1,496704.4
SCAR-L,ZSH2580,2,372800.7,495282.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,947,meanwolf,10,370551.7,496702
M416,DishonestPlace,5,392198.4,295707.6,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,502,jake0oo0,10,389302.5,301567.9
M416,TriscuitDaBisket,5,83903.72,478402.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1499,Forresterr,11,98173.39,486397.5
M416,kjvchi,5,235072.7,468184.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,967,STMMS,11,224925.7,466563.2
Down and Out,kjvchi,5,235072.7,468184.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,967,baiyuxing233,11,226445.9,469709.4
M416,kjvchi,5,235085.3,468213.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,957,qiqiluoluo66,11,233235.5,468051.6
SCAR-L,Forresterr,11,97400.83,487438.8,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1469,hockeylagu,12,95914.65,492466.7
Down and Out,jc3po,10,103454.9,494897.7,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1469,Docanimo,12,98506.07,493512.8
SKS,Lishuaiqi1994,5,272074.1,525189.3,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1323,Phil4141,12,271588,502810.4
Down and Out,ezez13Yi,5,272628.3,530356.2,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1313,MarvelJoker,12,278755.4,504831.4
Grenade,daheng----1993,1,246313.7,466954.5,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1218,fengchengchao,13,246130.8,466660.7
UMP9,O1dfriend,27,354149,415283.2,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,644,Martin_Lby,13,354823.8,415287
UMP9,NicholasL666,2,366550.5,490676.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,816,AltriaPandragonS,13,364135.3,488694.1
Kar98k,Ailurophile_,7,491651.4,653269.8,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,507,crazy_shine,13,483073.2,670102.3
Hit by Car,WoehrAE,15,252945.6,430353.2,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,786,WoehrAE,15,252945.6,430353.2
Hit by Car,FLOWINSTINCT,15,252962.8,430609.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,786,FLOWINSTINCT,15,252962.8,430609.6
M416,Phil4141,12,305340.3,510785.8,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1133,Budy-,15,304712.7,510430.6
Down and Out,daheng----1993,1,314335.5,453608.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1133,TAOLONGHUOGUI,15,306654.6,511358.3
UMP9,FP04YT,3,388096.9,130006.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,191,ItsSweth,15,388087.1,129641.2
AKM,adog_gaming,19,545491.4,230631.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,332,CuckReks,15,543562.3,235702.8
